my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
left, 2.966000000000001, down, 0, 0.8960000000000008, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, left, 1, 0.5650000000000013, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, right, 1, 0.34800000000000075, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, down, 0, 0.28200000000000003, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, right, 0, 0.24899999999999878, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, left, 0, 0.266, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, down, 1, 0.266, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, left, 1, 0.24900000000000055, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, right, 1, 0.25, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 1, 0, 9, 8, 1, 8, blue, blue, right, 1, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
left, 6.227, right, 0, 0.7010000000000005, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 0990, 001, A, Fri Jul 20 2018 10:42:11 GMT-0500 (Central Daylight Time), blockedStroop, 60
