my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
left, 2.7720000000000002, right, 0, 1.2910000000000004, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, left, 0, 0.6809999999999992, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, right, 0, 0.4629999999999992, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, right, 1, 1.282, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, left, 0, 0.2829999999999977, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, left, 1, 0.28200000000000003, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, left, 0, 0.31599999999999895, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, right, 1, 0.26399999999999935, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, right, 0, 0.26599999999999824, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 0, 9, 0, 1, 8, red, red, left, 1, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
left, 0.6890000000000001, left, 0, 0.3160000000000025, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 001, A, Fri Jul 20 2018 09:34:35 GMT-0700 (Pacific Daylight Time), blockedStroop, 60
