my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
space, 12.805, left, 1, 1.129999999999999, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, down, 1, 2.715, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, right, 1, 0.684000000000001, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, down, 1, 0.8489999999999966, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, right, 1, 0.5839999999999996, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, down, 1, 0.782, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, left, 1, 0.6999999999999993, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, left, 1, 0.6999999999999993, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, right, 1, 1.6329999999999991, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 0, 9, 5, 1, 8, green, blue, right, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
space, 4.246999999999996, right, 1, 3.2150000000000034, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, kikorangi, green, down, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, kikorangi, green, down, 0, 1, 0, 9, 7, 1, 8, kikorangi, green, down, 0, 1, 001, A, Sat Jul 21 2018 07:00:48 GMT+0100 (British Summer Time), blockedStroop, 60
