my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
left, 6.3709999999999996, left, 1, 1.5140000000000011, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, right, 1, 1.048, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, right, 1, 1.6819999999999986, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, down, 1, 1.5309999999999988, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, right, 1, 1.5150000000000006, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, left, 1, 1.0500000000000007, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, right, 0, 1.5990000000000002, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, left, 1, 1.6829999999999998, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, down, 1, 1.1660000000000004, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
left, 16.041999999999998, right, 0, 1.631999999999998, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, 1, 001, A, Sun Jul 22 2018 16:10:16 GMT-0400 (北美东部夏令时间), blockedStroop, 60
