my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
return, 2.6630000000000003, left, 1, 0.7710000000000008, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 0, 0.5650000000000013, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, right, 0, 0.32700000000000173, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 0, 0.4319999999999986, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 1, 0.6300000000000026, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 0, 0.4690000000000012, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 1, 0.4889999999999972, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, right, 1, 0.8260000000000005, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 0, 0.7980000000000018, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 1, 0, 9, 7, 1, 8, blue, green, down, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
down, 2.036999999999999, left, 1, 0.9149999999999991, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 4, 001, A, Mon Jul 23 2018 13:57:58 GMT+0800 (中国标准时间), blockedStroop, 60
