my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
left, 1.879, left, 1, 0.6210000000000004, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, down, 1, 0.4950000000000001, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, right, 0, 0.26700000000000035, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, right, 1, 0.25, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, left, 1, 0.1819999999999986, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, down, 0, 0.16300000000000026, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, left, 0, 0.0810000000000013, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, left, 1, 0.0990000000000002, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, down, 1, 0.014999999999998792, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
left, 3.3970000000000002, down, 0, 0.4660000000000011, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, 1, 0, 9, 5, 1, 8, kākāriki, blue, right, 0, , 001, A, Fri Jul 20 2018 16:00:55 GMT+0200 (CEST), blockedStroop, 60
