my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
right, 9.864, down, 0, 3.1590000000000007, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, right, 0, 2.0749999999999993, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, down, 0, 2.4939999999999998, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, right, 0, 1.9120000000000026, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, right, 1, 1.4589999999999996, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, left, 0, 1.0120000000000005, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, left, 1, 0.911999999999999, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, down, 1, 0.8949999999999996, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, left, 0, 0.8260000000000005, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 1, 1, 8, red, green, down, 0, 1, 0, 9, 1, 1, 8, red, green, down, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
down, 8.285000000000004, left, 0, 0.5769999999999982, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, 1, 0, 9, 2, 1, 8, whero, blue, right, 0, , 001, A, Mon Jul 23 2018 10:51:41 GMT+0200, blockedStroop, 60
