my.finish.keys, my.finish.rt, my.resp.keys, my.resp.corr, my.resp.rt, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate, my.blocks.thisRepN, my.blocks.thisTrialN, my.blocks.thisN, my.blocks.thisIndex, my.blocks.ran, my.blocks.order, language, Instructions, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, my.trials.thisRepN, my.trials.thisTrialN, my.trials.thisN, my.trials.thisIndex, my.trials.ran, my.trials.order, word, wordColor, corrAns, Congruent, participant, session, group, date, expName, frameRate
lshift, 8.231000000000002, down, 0, 1.6599999999999966, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 1, 0.9639999999999986, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 1, 1.0820000000000007, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, right, 1, 1.1479999999999961, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 1, 0.9989999999999952, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, down, 1, 0.6629999999999967, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, right, 1, 0.7649999999999935, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 1, 0.4650000000000034, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 1, 0.4490000000000052, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, green, red, left, 0, 1, 0, 9, 3, 1, 8, green, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, undefined, undefined, undefined, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
down, 4.990000000000002, down, 1, 0.6310000000000002, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, left, 1, 0.6969999999999956, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
undefined, undefined, right, 1, 0.6190000000000069, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60, 1, 0, 2, 1, 1, 1, maori, whero = ←, kākāriki = ↓, kikorangi = →, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, 1, 0, 9, 3, 1, 8, kākāriki, red, left, 0, testsub, 001, A, Sat Jul 21 2018 14:28:12 GMT+0800 (中国标准时间), blockedStroop, 60
